root_branch,level,parent_slug,parent_name,slug,name,full_path,indented_name
flavor_ingredients,1,,,plant_fat_alternatives,Plant-fat alternatives,Plant-fat alternatives,Plant-fat alternatives
flavor_ingredients,2,plant_fat_alternatives,Plant-fat alternatives,oleogels_topic,Oleogels,Plant-fat alternatives > Oleogels,  - Oleogels
flavor_ingredients,2,plant_fat_alternatives,Plant-fat alternatives,structured_fats_topic,Structured fats,Plant-fat alternatives > Structured fats,  - Structured fats
flavor_ingredients,1,,,reaction_flavors_topic,Reaction flavors / process flavors,Reaction flavors / process flavors,Reaction flavors / process flavors
flavor_ingredients,1,,,yeast_extract_topic,Yeast extract,Yeast extract,Yeast extract
meat_analogs,1,,,meat_analogs,Meat analogs,Meat analogs,Meat analogs
meat_analogs,2,meat_analogs,Meat analogs,printed_meat,3D-printed meat,Meat analogs > 3D-printed meat,  - 3D-printed meat
meat_analogs,2,meat_analogs,Meat analogs,beany_note_reduction,Beany note reduction,Meat analogs > Beany note reduction,  - Beany note reduction
meat_analogs,2,meat_analogs,Meat analogs,cultivated_meat,Cultivated / cell-based meat,Meat analogs > Cultivated / cell-based meat,  - Cultivated / cell-based meat
meat_analogs,2,meat_analogs,Meat analogs,hmma,HMMA (high-moisture meat analogs),Meat analogs > HMMA (high-moisture meat analogs),  - HMMA (high-moisture meat analogs)
meat_analogs,2,meat_analogs,Meat analogs,heme_analogues,Heme analogues (synthetic biology),Meat analogs > Heme analogues (synthetic biology),  - Heme analogues (synthetic biology)
meat_analogs,2,meat_analogs,Meat analogs,hybrid_products,Hybrid products (animal + plant),Meat analogs > Hybrid products (animal + plant),  - Hybrid products (animal + plant)
meat_analogs,2,meat_analogs,Meat analogs,lmma,LMMA (low-moisture meat analogs / TVP),Meat analogs > LMMA (low-moisture meat analogs / TVP),  - LMMA (low-moisture meat analogs / TVP)
meat_analogs,2,meat_analogs,Meat analogs,mycoprotein_analog,Mycoprotein,Meat analogs > Mycoprotein,  - Mycoprotein
meat_analogs,2,meat_analogs,Meat analogs,off_note_masking,Off-note masking,Meat analogs > Off-note masking,  - Off-note masking
meat_analogs,2,meat_analogs,Meat analogs,plant_based_proteins,Plant-based proteins,Meat analogs > Plant-based proteins,  - Plant-based proteins
meat_analogs,2,meat_analogs,Meat analogs,precision_fermentation,Precision fermentation,Meat analogs > Precision fermentation,  - Precision fermentation
meat_science,1,,,connective_tissue,Connective tissue chemistry,Connective tissue chemistry,Connective tissue chemistry
meat_science,2,connective_tissue,Connective tissue chemistry,collagen,Collagen,Connective tissue chemistry > Collagen,  - Collagen
meat_science,2,connective_tissue,Connective tissue chemistry,elastin,Elastin,Connective tissue chemistry > Elastin,  - Elastin
meat_science,1,,,culinary_aspects,Culinary aspects,Culinary aspects,Culinary aspects
meat_science,2,culinary_aspects,Culinary aspects,cooking,Cooking,Culinary aspects > Cooking,  - Cooking
meat_science,2,culinary_aspects,Culinary aspects,grill,Grill,Culinary aspects > Grill,  - Grill
meat_science,1,,,meat_aroma,Meat aroma,Meat aroma,Meat aroma
meat_science,1,,,meat_flavor,Meat flavor,Meat flavor,Meat flavor
meat_science,2,meat_flavor,Meat flavor,marbling,Marbling / intramuscular fat,Meat flavor > Marbling / intramuscular fat,  - Marbling / intramuscular fat
meat_science,2,meat_flavor,Meat flavor,myoglobin_meat,Myoglobin (meat),Meat flavor > Myoglobin (meat),  - Myoglobin (meat)
meat_science,1,,,processing,Processing,Processing,Processing
meat_science,2,processing,Processing,ageing,Ageing,Processing > Ageing,  - Ageing
meat_science,2,processing,Processing,brining,Brining / salting,Processing > Brining / salting,  - Brining / salting
meat_science,2,processing,Processing,curing,Curing,Processing > Curing,  - Curing
meat_science,2,processing,Processing,fermentation_meat,Fermentation (meat),Processing > Fermentation (meat),  - Fermentation (meat)
meat_science,2,processing,Processing,post_rigor,Post-rigor biochemistry,Processing > Post-rigor biochemistry,  - Post-rigor biochemistry
meat_science,2,processing,Processing,pre_rigor,Pre-rigor biochemistry,Processing > Pre-rigor biochemistry,  - Pre-rigor biochemistry
meat_science,2,processing,Processing,smoking,Smoking,Processing > Smoking,  - Smoking
meat_science,2,processing,Processing,thermal,Thermal,Processing > Thermal,  - Thermal
